задействовать;подключить
заслушать;
изыскания;исследования
истребовать;потребовать
инициирование;
инициировать;
взывать;
преобладать;
завуалированный;
инновационный;новый
информировать;сообщать
коммуникация;сообщение
комфортабельный;комфортный 
компетентный;
гарантировать;
верифицировать;проверить
демонстрировать;показать
легитимный;законный
немаловажно;важно
немаловажный;важный
выявить;найти
вышесказанный;
вышестоящий;
незамедлительный;
способствовать;
пользование;
подлежащий;
неимение;
неисполнение;
необходимый;нужный/нужно
являться;быть 
проинформировать;сообщить
далее;потом
сведение;
сведения;
данный;этот/такой
несомненно;
дальнейший;следующий
соответственно;
корректный;верный/уместный
ликвидировать;уничтожить
минимизировать;снизить
систематизировать;упорядочить
спровоцировать;вызвать
трансформация;изменение
функционировать;работать
рекомендовать;советовать
ввести;написать
указать;написать
сформировать;сделать/составить
обращаться;приходить/написать
